a,b,mean
4.09E+00,6.35E+00,33908044346
4.09E+00,6.40E+00,47586141860
4.09E+00,6.40E+00,47586141860
4.09E+00,6.42E+00,51620479609
4.11E+00,6.42E+00,53060223208
4.12E+00,6.43E+00,58585689792
4.13E+00,6.48E+00,81561613372
4.16E+00,6.51E+00,1.03841E+11
4.16E+00,6.51E+00,1.03841E+11
4.16E+00,6.52E+00,1.07222E+11
4.17E+00,6.52E+00,1.08283E+11
4.18E+00,6.52E+00,1.09344E+11
4.20E+00,6.56E+00,1.43453E+11
4.20E+00,6.57E+00,1.56612E+11
4.20E+00,6.57E+00,1.56612E+11
4.20E+00,6.59E+00,1.79102E+11
4.22E+00,6.59E+00,1.81603E+11
4.24E+00,6.60E+00,2.02409E+11
4.26E+00,6.63E+00,2.47177E+11
4.29E+00,6.63E+00,2.54253E+11
4.30E+00,6.63E+00,2.56525E+11
4.30E+00,6.67E+00,3.45431E+11
4.31E+00,6.67E+00,3.49036E+11
4.31E+00,6.67E+00,3.4772E+11
4.31E+00,6.73E+00,5.19949E+11
4.31E+00,6.73E+00,5.19949E+11
4.31E+00,6.76E+00,6.06828E+11
4.31E+00,6.76E+00,6.08848E+11
4.31E+00,6.76E+00,6.10336E+11
4.31E+00,6.76E+00,6.07923E+11
4.32E+00,6.78E+00,7.15646E+11
4.32E+00,6.78E+00,7.15646E+11
4.33E+00,6.78E+00,7.1746E+11
4.33E+00,6.82E+00,9.2895E+11
4.33E+00,6.85E+00,1.17571E+12
4.33E+00,6.85E+00,1.21575E+12
4.35E+00,6.85E+00,1.2304E+12
4.35E+00,6.85E+00,1.23813E+12
4.37E+00,6.88E+00,1.4955E+12
4.37E+00,6.94E+00,2.2114E+12
4.39E+00,6.93E+00,2.17939E+12
4.41E+00,6.93E+00,2.22313E+12
4.43E+00,6.95E+00,2.50148E+12
4.45E+00,6.97E+00,3.02163E+12
4.45E+00,6.97E+00,3.12398E+12
4.46E+00,7.02E+00,4.23531E+12
4.46E+00,7.02E+00,4.23531E+12
4.46E+00,7.02E+00,4.23531E+12
4.46E+00,7.02E+00,4.24303E+12
4.46E+00,7.00E+00,3.86342E+12
4.46E+00,7.00E+00,3.84678E+12
4.49E+00,7.00E+00,3.96221E+12
4.49E+00,7.05E+00,5.46852E+12
4.51E+00,7.06E+00,6.10363E+12
4.51E+00,7.12E+00,9.11329E+12
4.51E+00,7.12E+00,9.11329E+12
4.51E+00,7.17E+00,1.31711E+13
4.52E+00,7.16E+00,1.24169E+13
4.52E+00,7.16E+00,1.24585E+13
4.52E+00,7.17E+00,1.32698E+13
4.52E+00,7.17E+00,1.32698E+13
4.54E+00,7.19E+00,1.53442E+13
4.54E+00,7.19E+00,1.53442E+13
4.53E+00,7.19E+00,1.52533E+13
4.53E+00,7.19E+00,1.52533E+13
4.53E+00,7.19E+00,1.52533E+13
4.56E+00,7.19E+00,1.56424E+13
4.56E+00,7.18E+00,1.53838E+13
4.56E+00,7.18E+00,1.53838E+13
4.56E+00,7.18E+00,1.53838E+13
4.57E+00,7.18E+00,1.55843E+13
4.60E+00,7.21E+00,1.92542E+13
4.60E+00,7.21E+00,1.92373E+13
4.62E+00,7.26E+00,2.87842E+13
4.62E+00,7.32E+00,4.30184E+13
4.62E+00,7.37E+00,6.39191E+13
4.62E+00,7.38E+00,6.54589E+13
4.60E+00,7.39E+00,7.02205E+13
4.61E+00,7.39E+00,7.1014E+13
4.61E+00,7.39E+00,7.1014E+13
4.61E+00,7.39E+00,7.1014E+13
4.61E+00,7.45E+00,1.12627E+14
4.61E+00,7.50E+00,1.6259E+14
4.62E+00,7.55E+00,2.5116E+14
4.62E+00,7.62E+00,4.00155E+14
4.62E+00,7.67E+00,6.18416E+14
4.63E+00,7.67E+00,6.24483E+14
4.63E+00,7.67E+00,6.24483E+14
4.63E+00,7.73E+00,9.82202E+14
4.63E+00,7.76E+00,1.22823E+15
4.63E+00,7.78E+00,1.44621E+15
4.63E+00,7.78E+00,1.47904E+15
4.66E+00,7.78E+00,1.52001E+15
4.66E+00,7.78E+00,1.52001E+15
4.66E+00,7.78E+00,1.52001E+15
4.66E+00,7.78E+00,1.52001E+15
4.65E+00,7.79E+00,1.55812E+15
4.65E+00,7.79E+00,1.55812E+15
4.66E+00,7.79E+00,1.57092E+15
4.63E+00,7.85E+00,2.39806E+15
4.64E+00,7.89E+00,3.28702E+15
4.64E+00,7.89E+00,3.30656E+15
4.65E+00,7.89E+00,3.34555E+15
4.66E+00,7.89E+00,3.35387E+15
4.65E+00,7.88E+00,3.12995E+15
4.65E+00,7.88E+00,3.11254E+15
4.68E+00,7.88E+00,3.16629E+15
4.68E+00,7.88E+00,3.22941E+15
4.70E+00,7.91E+00,4.25498E+15
4.70E+00,7.95E+00,5.99007E+15
4.70E+00,7.89E+00,3.64619E+15
4.68E+00,7.90E+00,3.93256E+15
4.68E+00,7.92E+00,4.48485E+15
4.69E+00,7.94E+00,5.22853E+15
4.69E+00,7.94E+00,5.22853E+15
4.69E+00,7.99E+00,8.19413E+15
4.70E+00,8.04E+00,1.15295E+16
4.72E+00,8.03E+00,1.15377E+16
4.74E+00,8.04E+00,1.26448E+16
4.75E+00,8.04E+00,1.28221E+16
4.75E+00,8.04E+00,1.28221E+16
4.74E+00,8.03E+00,1.18423E+16
4.75E+00,8.06E+00,1.50734E+16
4.74E+00,8.10E+00,2.00305E+16
4.75E+00,8.15E+00,3.08755E+16
4.78E+00,8.15E+00,3.16318E+16
4.78E+00,8.10E+00,2.10142E+16
4.76E+00,8.13E+00,2.70305E+16
4.74E+00,8.18E+00,3.86763E+16
4.75E+00,8.18E+00,3.90767E+16
4.75E+00,8.18E+00,3.90767E+16
4.75E+00,8.18E+00,3.92606E+16
4.77E+00,8.18E+00,4.01515E+16
4.77E+00,8.16E+00,3.43465E+16
4.77E+00,8.18E+00,3.89001E+16
4.78E+00,8.16E+00,3.31809E+16
4.75E+00,8.20E+00,4.52129E+16
4.75E+00,8.25E+00,7.02968E+16
4.75E+00,8.29E+00,9.59906E+16
4.72E+00,8.26E+00,7.56227E+16
4.75E+00,8.28E+00,8.93801E+16
4.76E+00,8.28E+00,9.0872E+16
4.79E+00,8.33E+00,1.36483E+17
4.80E+00,8.28E+00,9.25669E+16
4.81E+00,8.33E+00,1.44251E+17
4.81E+00,8.38E+00,2.21528E+17
4.80E+00,8.39E+00,2.38714E+17
4.80E+00,8.39E+00,2.38088E+17
4.79E+00,8.39E+00,2.3998E+17
4.79E+00,8.39E+00,2.3967E+17
4.80E+00,8.43E+00,3.18029E+17
4.79E+00,8.43E+00,3.17146E+17
4.82E+00,8.45E+00,4.08563E+17
